ticker,strategy_func,params
ADBE,bollinger_bands_mean_reversion_sma_vectorized,{}
ADBE,sma_stoch_close_strategy_vectorized,{}
ADBE,stochastic_oscillator_signal_vectorized,{}
ADBE,moving_average_crossover_signal_vectorized,{}
ADBE,rsi_hammer_70_30_vectorized,{}
ADBE,rsi_hammer_65_35_vectorized,{}
ADBE,rsi_hammer_80_20_vectorized,{}
ADBE,mean_reversion_signal_v1_vectorized,{}
ADBE,mean_reversion_signal_v2_vectorized,{}
ADBE,mean_reversion_signal_v3_vectorized,{}
ADBE,rsi_engulfing_signals_vectorized,{}
ADBE,mixed_signal_strategy_vectorized,{}
ADBE,pinbar_macd_strategy_vectorized,{}
ADBE,doji_rsi_simplified_vectorized,{}
ADBE,bollinger_bands_adx_simple_35_20_vectorized,{}
ADBE,bollinger_bands_adx_simple_vectorized,{}
ADBE,bollinger_bands_adx_simple_45_25_vectorized,{}
ADBE,x_rsi_bollinger_total_signal_15_65_35_vectorized,{}
ADBE,x_rsi_bollinger_total_signal_10_70_30_vectorized,{}
ADBE,x_rsi_bollinger_signal_vectorized,{}
ADBE,adx_sma_trend_following,{}
ADBE,adx_sma_tf_10_30_25,{}
ADBE,adx_sma_tf_15_40_35,{}
ADBE,adx_sma_tf_10_30_35,{}
ADBE,adx_trend_breakout,{}
ADBE,adx_trend_breakout_10_40,{}
ADBE,adx_trend_breakout_10_35,{}
ADBE,donchian_channel_vectorized,{}
ADBE,donchian_channel_10_5_5,{}
ADBE,donchian_channel_20_5_5,{}
ADBE,liquidity_grab_rev_adx_filtered,{}
ADBE,liquidity_grab_tf_adx_filtered,{}
ADBE,adx_ema_trend_strategy,{}
ADBE,adx_ema_trend_10_30_25,{}
ADBE,adx_ema_trend_5_15_25,{}
ADBE,dax_momentum_signal_vectorized,{}
ADBE,inside_bar_breakout_signal_vectorized,{}
ADBE,three_bar_reversal_signal_vectorized,{}
ADBE,engulfing_pattern_signal_vectorized,{}
ADBE,morning_evening_star_signal_vectorized,{}
ADBE,doji_signal_strategy_v1_vectorized,{}
ADBE,retracement_rev_vectorized,{}
ADBE,retracement_tf_vectorized,{}
ADBE,liquidity_grab_rev_strategy,{}
ADBE,liquidity_grab_tf_strategy,{}
ADBE,donchian_breakout_with_ma_filter,{}
ADBE,donchian_breakout_with_ma_10_30,{}
ADBE,donchian_breakout_with_ma_15_40,{}
ADBE,donchian_inv_with_ma_filter,{}
ADBE,donchian_inv_with_ma_15_40,{}
ADBE,donchian_inv_with_ma_10_30,{}
ADBE,keltner_rev_vectorized,{}
ADBE,keltner_rev_15_1_5,{}
ADBE,keltner_rev_50_2_5,{}
ADBE,keltner_tf_vectorized,{}
ADBE,keltner_tf_15_1_5,{}
ADBE,keltner_tf_50_2_5,{}
ADBE,weekly_breakout_vectorized,{}
ADBE,weekly_breakout_1_2,{}
ADBE,weekly_breakout_2_1,{}
ADBE,weekly_breakout_2_2,{}
ADBE,weekly_breakout_1_3,{}
ADBE,weekly_breakout_2_3,{}
ADBE,vwap_trading_strategy_threshold,{}
ADBE,vwap_trading_strategy_cross,{}
ADBE,vwap_trading_strategy_cross_20_10,{}
ADBE,vwap_trading_strategy_cross_30_20,{}
ADBE,parab_rev_vectorized,{}
ADBE,parab_rev_8_16_32_vectorized,{}
ADBE,parab_rev_3_6_15_vectorized,{}
ADBE,ema_vwap_sma_vectorized,{}
ADBE,ema_vwap_sma_15_30_50,{}
ADBE,ema_vwap_sma_5_10_20,{}
ADBE,ema_vwap_vectorized,{}
ADBE,volume_trend_basic,{}
ADBE,volume_trend_10,{}
ADBE,volume_trend_30,{}
ADBE,squeeze_ema_strategy,{}
ADBE,squeeze_ema_10_20,{}
ADBE,squeeze_ema_15_25,{}
ADBE,ema_pullback_strategy,"{""short_ema"": 8, ""long_ema"": 28, ""min_move"": 0.02, ""min_trend_gap"": 0.04, ""lookback_trend"": 5}"
ADSK,bollinger_bands_mean_reversion_sma_vectorized,{}
ADSK,sma_stoch_close_strategy_vectorized,{}
ADSK,stochastic_oscillator_signal_vectorized,{}
ADSK,moving_average_crossover_signal_vectorized,{}
ADSK,rsi_hammer_70_30_vectorized,{}
ADSK,rsi_hammer_65_35_vectorized,{}
ADSK,rsi_hammer_80_20_vectorized,{}
ADSK,mean_reversion_signal_v1_vectorized,{}
ADSK,mean_reversion_signal_v2_vectorized,{}
ADSK,mean_reversion_signal_v3_vectorized,{}
ADSK,rsi_engulfing_signals_vectorized,{}
ADSK,mixed_signal_strategy_vectorized,{}
ADSK,pinbar_macd_strategy_vectorized,{}
ADSK,doji_rsi_simplified_vectorized,{}
ADSK,bollinger_bands_adx_simple_35_20_vectorized,{}
ADSK,bollinger_bands_adx_simple_vectorized,{}
ADSK,bollinger_bands_adx_simple_45_25_vectorized,{}
ADSK,x_rsi_bollinger_total_signal_15_65_35_vectorized,{}
ADSK,x_rsi_bollinger_total_signal_10_70_30_vectorized,{}
ADSK,x_rsi_bollinger_signal_vectorized,{}
ADSK,adx_sma_trend_following,{}
ADSK,adx_sma_tf_10_30_25,{}
ADSK,adx_sma_tf_15_40_35,{}
ADSK,adx_sma_tf_10_30_35,{}
ADSK,adx_trend_breakout,{}
ADSK,adx_trend_breakout_10_40,{}
ADSK,adx_trend_breakout_10_35,{}
ADSK,donchian_channel_vectorized,{}
ADSK,donchian_channel_10_5_5,{}
ADSK,donchian_channel_20_5_5,{}
ADSK,liquidity_grab_rev_adx_filtered,{}
ADSK,liquidity_grab_tf_adx_filtered,{}
ADSK,adx_ema_trend_strategy,{}
ADSK,adx_ema_trend_10_30_25,{}
ADSK,adx_ema_trend_5_15_25,{}
ADSK,dax_momentum_signal_vectorized,{}
ADSK,inside_bar_breakout_signal_vectorized,{}
ADSK,three_bar_reversal_signal_vectorized,{}
ADSK,engulfing_pattern_signal_vectorized,{}
ADSK,morning_evening_star_signal_vectorized,{}
ADSK,doji_signal_strategy_v1_vectorized,{}
ADSK,retracement_rev_vectorized,{}
ADSK,retracement_tf_vectorized,{}
ADSK,liquidity_grab_rev_strategy,{}
ADSK,liquidity_grab_tf_strategy,{}
ADSK,donchian_breakout_with_ma_filter,{}
ADSK,donchian_breakout_with_ma_10_30,{}
ADSK,donchian_breakout_with_ma_15_40,{}
ADSK,donchian_inv_with_ma_filter,{}
ADSK,donchian_inv_with_ma_15_40,{}
ADSK,donchian_inv_with_ma_10_30,{}
ADSK,keltner_rev_vectorized,{}
ADSK,keltner_rev_15_1_5,{}
ADSK,keltner_rev_50_2_5,{}
ADSK,keltner_tf_vectorized,{}
ADSK,keltner_tf_15_1_5,{}
ADSK,keltner_tf_50_2_5,{}
ADSK,weekly_breakout_vectorized,{}
ADSK,weekly_breakout_1_2,{}
ADSK,weekly_breakout_2_1,{}
ADSK,weekly_breakout_2_2,{}
ADSK,weekly_breakout_1_3,{}
ADSK,weekly_breakout_2_3,{}
ADSK,vwap_trading_strategy_threshold,{}
ADSK,vwap_trading_strategy_cross,{}
ADSK,vwap_trading_strategy_cross_20_10,{}
ADSK,vwap_trading_strategy_cross_30_20,{}
ADSK,parab_rev_vectorized,{}
ADSK,parab_rev_8_16_32_vectorized,{}
ADSK,parab_rev_3_6_15_vectorized,{}
ADSK,ema_vwap_sma_vectorized,{}
ADSK,ema_vwap_sma_15_30_50,{}
ADSK,ema_vwap_sma_5_10_20,{}
ADSK,ema_vwap_vectorized,{}
ADSK,volume_trend_basic,{}
ADSK,volume_trend_10,{}
ADSK,volume_trend_30,{}
ADSK,squeeze_ema_strategy,{}
ADSK,squeeze_ema_10_20,{}
ADSK,squeeze_ema_15_25,{}
ADSK,ema_pullback_strategy,{}
AI,bollinger_bands_mean_reversion_sma_vectorized,{}
AI,sma_stoch_close_strategy_vectorized,{}
AI,stochastic_oscillator_signal_vectorized,{}
AI,moving_average_crossover_signal_vectorized,{}
AI,rsi_hammer_70_30_vectorized,{}
AI,rsi_hammer_65_35_vectorized,{}
AI,rsi_hammer_80_20_vectorized,{}
AI,mean_reversion_signal_v1_vectorized,{}
AI,mean_reversion_signal_v2_vectorized,{}
AI,mean_reversion_signal_v3_vectorized,{}
AI,rsi_engulfing_signals_vectorized,{}
AI,mixed_signal_strategy_vectorized,{}
AI,pinbar_macd_strategy_vectorized,{}
AI,doji_rsi_simplified_vectorized,{}
AI,bollinger_bands_adx_simple_35_20_vectorized,{}
AI,bollinger_bands_adx_simple_vectorized,{}
AI,bollinger_bands_adx_simple_45_25_vectorized,{}
AI,x_rsi_bollinger_total_signal_15_65_35_vectorized,{}
AI,x_rsi_bollinger_total_signal_10_70_30_vectorized,{}
AI,x_rsi_bollinger_signal_vectorized,"{""tolerance_percent"": 5, ""up_rsi_bound"": 78, ""low_rsi_bound"": 24}"
AI,adx_sma_trend_following,{}
AI,adx_sma_tf_10_30_25,{}
AI,adx_sma_tf_15_40_35,{}
AI,adx_sma_tf_10_30_35,{}
AI,adx_trend_breakout,{}
AI,adx_trend_breakout_10_40,{}
AI,adx_trend_breakout_10_35,{}
AI,donchian_channel_vectorized,{}
AI,donchian_channel_10_5_5,{}
AI,donchian_channel_20_5_5,{}
AI,liquidity_grab_rev_adx_filtered,{}
